english,chinese
anti-rightist campaign,反右运动
laogai,劳改
thought reform,思想改造
struggle sessions,批斗会
class enemies,阶级敌人
landlord persecution,地主迫害
send-down movement,上山下乡
educated youth,知青
rusticated youth,下乡知青
barefoot doctors failure,赤脚医生失败
backyard furnaces,土法炼钢
sparrow campaign,打麻雀运动
four pests campaign,除四害运动
people's commune failures,人民公社失败
famine deaths mao,毛泽东时期饥荒死亡
cannibalism great leap forward,大跃进人相食
tombstone yang jisheng,杨继绳墓碑
xi zhongxun,习仲勋
peng dehuai,彭德怀
lushan conference,庐山会议
deng xiaoping reforms criticism,邓小平改革批评
tiananmen crackdown deng,邓小平天安门镇压
paramount leader,最高领导人
general secretary ccp,中共总书记
politburo standing committee,政治局常委
central military commission,中央军委
princeling,太子党
xi jinping corruption,习近平腐败
xi jinping dictator,习近平独裁
xi jinping emperor,习近平皇帝
abolish term limits,废除任期限制
lifelong rule,终身执政
constitution amendment 2018,2018年修宪
personality cult xi,习近平个人崇拜
xi jinping thought,习近平思想
core leader,核心领导人
chairman of everything,什么都管的主席
wang qishan,王岐山
li keqiang,李克强
hu jintao,胡锦涛
jiang zemin,江泽民
toad jiang zemin,江泽民蛤蟆
jiang zemin frog,江泽民青蛙
bo xilai,薄熙来
zhou yongkang,周永康
ling jihua,令计划
guo boxiong,郭伯雄
xu caihou,徐才厚
sun zhengcai,孙政才
chongqing model,重庆模式
wang lijun,王立军
neil heywood,尼尔·海伍德
gu kailai,谷开来
anti-corruption campaign political,反腐运动政治化
selective anti-corruption,选择性反腐
tigers and flies,老虎苍蝇
princelings corruption,太子党腐败
panama papers china,巴拿马文件中国
paradise papers china,天堂文件中国
offshore accounts ccp,中共离岸账户
red nobility,红色贵族
communist aristocracy,共产党贵族
wealth of ccp families,中共家族财富
deng family wealth,邓小平家族财富
wen jiabao family wealth,温家宝家族财富
xi jinping family wealth,习近平家族财富
li peng family wealth,李鹏家族财富
zeng qinghong,曾庆红
chinese democracy movement,中国民主运动
federation for democratic china,中国民主团结联盟
china democracy party,中国民主党
independent chinese pen center,独立中文笔会
chinese human rights defenders,中国人权捍卫者
rights defense movement,维权运动
weiquan lawyers,维权律师
709 crackdown,709大抓捕
human rights lawyers china,中国人权律师
wang quanzhang,王全璋
jiang tianyong,江天勇
li heping,李和平
wang yu lawyer,王宇律师
zhou shifeng,周世锋
xu zhiyong,许志永
new citizens movement,新公民运动
guo feixiong,郭飞雄
liu ping,刘萍
pu zhiqiang,浦志强
teng biao,滕彪
chen jiangang,陈建刚
li wenzu,李文足
wang qiaoling,王峭岭
forced disappearance china,中国强迫失踪
residential surveillance,指定居所监视居住
rsdl,指居
black jails,黑监狱
re-education through labor,劳动教养
laojiao,劳教
psychiatric detention,精神病院拘留
ankang,安康
forced confession,强迫认罪
televised confession,电视认罪
trial by media,媒体审判
show trial china,中国作秀审判
torture china,中国酷刑
organ harvesting,器官摘取
forced organ harvesting,强制摘取器官
organ harvesting falun gong,法轮功器官摘取
china tribunal,中国法庭
death penalty china,中国死刑
execution mobile,流动执行车
lethal injection china,中国注射死刑
political prisoner,政治犯
prisoner of conscience,良心犯
house arrest china,中国软禁
internet police,网络警察
golden shield project,金盾工程
great firewall,防火长城
gfw,防火墙
censorship china,中国审查
internet censorship,网络审查
blocked websites china,中国被封网站
vpn crackdown,vpn打击
vpn illegal china,中国vpn违法
firewall circumvention,翻墙
climbing the wall,翻墙
ladder internet,梯子上网
proxy server china,中国代理服务器
tor blocked china,中国封锁tor
shadowsocks,影梭
v2ray,v2ray
trojan gfw,trojan翻墙
sensitive words,敏感词
harmonized,被和谐
river crab,河蟹
grass mud horse,草泥马
cao ni ma,操你妈
fuck your mother,操你妈
llama alpaca,羊驼
mythical creatures china,中国神兽
baidu censorship,百度审查
weibo censorship,微博审查
wechat censorship,微信审查
douyin censorship,抖音审查
tiktok censorship,抖音审查
real name registration,实名制
social credit system,社会信用体系
social credit score,社会信用分
mass surveillance china,中国大规模监控
facial recognition china,中国面部识别
skynet surveillance,天网监控
sharp eyes,雪亮工程
cctv surveillance china,中国闭路电视监控
big data policing,大数据警务
predictive policing china,中国预测性警务
grid management,网格化管理
stability maintenance,维稳
weiwen,维稳
petition system,信访制度
petitioners china,中国上访者
black jail petitioners,上访者黑监狱
interceptors,截访者
forced repatriation,强制遣返
nail houses,钉子户
forced demolition,强拆
land grabbing china,中国土地掠夺
chengguan,城管
urban management violence,城管暴力
mass incidents,群体性事件
riot police china,中国防暴警察
people's armed police,武警
paramilitary china,中国准军事部队
wukan protests,乌坎抗议
shifang protests,什邡抗议
qidong protests,启东抗议
ningbo protests,宁波抗议
maoming protests,茂名抗议
px protests,px抗议
environmental protests china,中国环保抗议
anti-incinerator protests,反焚烧厂抗议
nimby protests china,中国邻避抗议
labor strikes china,中国工人罢工
jasic workers,佳士工人
marxist students crackdown,马克思主义学生镇压
peking university marxists,北大马克思主义者
worker organizing china,中国工人组织
independent unions china,中国独立工会
all-china federation of trade unions criticism,全总批评
strike crackdown,罢工镇压
collective bargaining china,中国集体谈判
labor rights china,中国劳工权利
foxconn suicides,富士康自杀
996 work culture,996工作制
jack ma 996,马云996
overwork death china,中国过劳死
feminist five,女权五姐妹
metoo china,中国metoo
peng shuai,彭帅
zhang gaoli,张高丽
peng shuai disappearance,彭帅失踪
tennis peng shuai,网球彭帅
wta china,wta中国
sexual assault ccp,中共性侵
zhu jun,朱军
lei yang death,雷洋之死
police brutality china,中国警察暴力
death in custody,拘留期间死亡
hide and seek death,躲猫猫死亡
suspicious death china,中国可疑死亡
yang jia,杨佳
shanghai police attack,上海警察袭击
deng yujiao,邓玉娇
self-immolation tibet,西藏自焚
tibetan self-immolation,藏人自焚
burning monk tibet,西藏自焚僧侣
ngaba protests,阿坝抗议
kirti monastery,格尔登寺
larung gar,喇荣五明佛学院
yarchen gar,亚青寺
demolition tibetan monasteries,拆除藏传寺院
tibetan language suppression,藏语打压
bilingual education tibet,西藏双语教育
colonial boarding schools tibet,西藏殖民寄宿学校
panchen lama,班禅喇嘛
gedhun choekyi nyima,根敦确吉尼玛
11th panchen lama,第十一世班禅
kidnapped panchen lama,被绑架的班禅
gyaltsen norbu,坚赞诺布
fake panchen lama,假班禅
tibetan exile government,西藏流亡政府
dharamsala,达兰萨拉
central tibetan administration,藏人行政中央
tibet autonomous region,西藏自治区
sinicization tibet,西藏汉化
han migration tibet,西藏汉族移民
railway tibet colonization,青藏铁路殖民
lhasa riots 2008,2008年拉萨骚乱
tibetan uprising day,西藏起义日
march 10 tibet,西藏三一零
17 point agreement,十七条协议
peaceful liberation tibet,西藏和平解放
invasion of tibet,入侵西藏
colonization tibet,西藏殖民
cultural genocide tibet,西藏文化灭绝
uyghur,维吾尔
uyghur muslim,维吾尔穆斯林
xinjiang uyghur autonomous region,新疆维吾尔自治区
east turkestan independence,东突厥斯坦独立
uyghur diaspora,维吾尔海外侨民
world uyghur congress,世界维吾尔代表大会
dolkun isa,多里坤·艾沙
rebiya kadeer,热比娅·卡德尔
ilham tohti,伊力哈木·土赫提
uyghur economist,维吾尔族经济学家
xinjiang papers,新疆文件
china cables,中国电报
xinjiang police files,新疆警察档案
adrian zenz,郑国恩
xinjiang genocide evidence,新疆种族灭绝证据
vocational training centers,职业技能教育培训中心
transformation through education,教育转化
xinjiang detention,新疆拘留
one million uyghurs,一百万维吾尔人
mass detention xinjiang,新疆大规模拘留
xinjiang surveillance,新疆监控
checkpoints xinjiang,新疆检查站
facial recognition uyghur,维吾尔人面部识别
biometric collection xinjiang,新疆生物特征采集
dna collection uyghur,维吾尔人dna采集
mosque demolition xinjiang,新疆拆除清真寺
halal crackdown,清真食品打击
beard ban xinjiang,新疆禁止蓄胡
veil ban xinjiang,新疆禁止戴面纱
ramadan restrictions,斋月限制
religious extremism xinjiang,新疆宗教极端主义
strike hard campaign,严打
terrorism xinjiang,新疆恐怖主义
separatism xinjiang,新疆分裂主义
three evils,三股势力
kunming attack,昆明袭击
urumqi riots 2009,2009年乌鲁木齐骚乱
july 5 urumqi,乌鲁木齐七五事件
han uyghur violence,汉维冲突
ethnic tension xinjiang,新疆民族矛盾
bingtuan,兵团
xinjiang production construction corps,新疆生产建设兵团
cotton xinjiang,新疆棉花
forced labor xinjiang,新疆强迫劳动
uyghur forced labor,维吾尔强迫劳动
supply chain xinjiang,新疆供应链
xinjiang cotton boycott,抵制新疆棉花
better cotton initiative,良好棉花发展协会
h&m xinjiang,h&m新疆
nike xinjiang,耐克新疆
adidas xinjiang,阿迪达斯新疆
xinjiang sanctions,新疆制裁
magnitsky act china,马格尼茨基法案中国
entity list xinjiang,新疆实体清单
hikvision,海康威视
dahua,大华
megvii,旷视
sensetime,商汤
surveillance technology xinjiang,新疆监控技术
inner mongolia protests,内蒙古抗议
mongolian language,蒙古语
bilingual education inner mongolia,内蒙古双语教育
cultural assimilation mongolia,蒙古文化同化
southern mongolian human rights,南蒙古人权
hada activist,哈达活动人士
southern mongolia,南蒙古
manchu language,满语
cantonese suppression,粤语打压
shanghainese dialect,上海话
regional language suppression,地方语言打压
putonghua promotion,普通话推广
chinese christian persecution,中国基督徒迫害
house church,家庭教会
underground church,地下教会
unregistered church,未登记教会
early rain covenant church,秋雨圣约教会
wang yi pastor,王怡牧师
shouwang church,守望教会
zion church beijing,北京锡安教会
cross demolition,拆十字架
zhejiang crosses,浙江十字架
sanjiang church,三江教堂
sinicization christianity,基督教中国化
patriotic catholic association,天主教爱国会
underground catholic church,天主教地下教会
vatican china deal,梵中协议
bishop appointment china,中国主教任命
cardinal zen,陈日君枢机
joseph zen,陈日君
catholic persecution china,中国天主教迫害
protestant persecution china,中国新教迫害
bible sales ban,圣经销售禁令
religious regulation china,中国宗教法规
religious affairs regulation,宗教事务条例
xie cult,邪教
eastern lightning,东方闪电
church of almighty god,全能神教会
shouters,呼喊派
local church china,中国地方教会
watchman nee,倪柝声
witness lee,李常受
qigong crackdown,气功打击
zhong gong,中功
zhonggong,中功
breathing exercises banned,呼吸练习被禁
taichi persecution,太极迫害
buddhist persecution china,中国佛教迫害
temple demolition,寺庙拆除
buddha statue demolition,佛像拆除
guanyin statue,观音像
religious statue removal,宗教雕像拆除
islam china,中国伊斯兰教
mosque sinicization,清真寺中国化
arabic removal,阿拉伯文去除
dome removal mosque,清真寺圆顶拆除
hui muslim,回族穆斯林
linxia,临夏
ningxia mosques,宁夏清真寺
najiahu mosque,纳家户清真寺
weizhou mosque,韦州清真寺
covid wuhan,武汉新冠
wuhan virus,武汉病毒
wuhan lab,武汉实验室
wuhan institute of virology,武汉病毒研究所
lab leak theory,实验室泄漏论
covid origin,新冠起源
shi zhengli,石正丽
bat woman,蝙蝠女侠
li wenliang,李文亮
whistleblower doctor,吹哨人医生
citizen journalist wuhan,武汉公民记者
chen qiushi,陈秋实
fang bin,方斌
li zehua,李泽华
zhang zhan,张展
ai fen,艾芬
wuhan lockdown,武汉封城
zero covid criticism,清零政策批评
dynamic zero covid,动态清零
covid protests china,中国新冠抗议
white paper revolution,白纸革命
a4 revolution,a4革命
blank paper protest,白纸抗议
urumqi fire,乌鲁木齐火灾
november 2022 protests,2022年11月抗议
shanghai protests,上海抗议
beijing protests 2022,2022年北京抗议
university protests covid,高校新冠抗议
sitong bridge,四通桥
peng lifa,彭立发
bridge man beijing,北京桥男
xi jinping step down,习近平下台
oppose dictatorship,反对独裁
oppose lockdown,反对封锁
freedom of speech,言论自由
we want freedom,我们要自由
ccp step down,中共下台
communist party step down,共产党下台
shanghai lockdown,上海封城
voices of april,四月之声
shanghai residents screaming,上海居民尖叫
covid starvation,新冠饥饿
food shortage lockdown,封城食物短缺
supply chain covid,新冠供应链
pcr testing corruption,核酸检测腐败
nucleic acid testing,核酸检测
health code,健康码
green code,绿码
red code protest,红码抗议
henan bank red code,河南银行红码
zhengzhou bank,郑州银行
bank run china,中国银行挤兑
henan bank protest,河南银行抗议
tangshan beating,唐山打人
tangshan restaurant,唐山烧烤店
women beaten tangshan,唐山女性被打
xuzhou chained woman,徐州铁链女
eight child mother,八孩母亲
trafficking women china,中国拐卖妇女
bride trafficking,新娘拐卖
rural trafficking,农村拐卖
one child policy criticism,一胎政策批评
forced abortion,强制堕胎
forced sterilization,强制绝育
family planning violence,计划生育暴力
population control abuse,人口控制滥用
missing girls china,中国失踪女孩
sex selective abortion,性别选择性堕胎
gender imbalance china,中国性别失衡
leftover women,剩女
marriage pressure china,中国婚姻压力
three child policy,三孩政策
birth rate collapse,出生率暴跌
population decline china,中国人口下降
demographic crisis,人口危机
aging population china,中国老龄化
pension crisis china,中国养老金危机
lying flat,躺平
let it rot,摆烂
tang ping,躺平
bai lan,摆烂
youth unemployment,青年失业
graduate unemployment,毕业生失业
996 protest,996抗议
involution,内卷
neijuan,内卷
rat race china,中国内卷
housing crisis china,中国房地产危机
evergrande,恒大
evergrande collapse,恒大暴雷
country garden,碧桂园
property developer collapse,房企暴雷
ghost cities,鬼城
housing bubble,房地产泡沫
mortgage boycott,停贷
unfinished buildings,烂尾楼
pre-sale housing,期房
homeowner protest,业主抗议
bank protest china,中国银行抗议
wealth management products,理财产品
shadow banking,影子银行
local government debt,地方政府债务
lgfv,城投债
economic slowdown china,中国经济放缓
gdp manipulation,gdp造假
statistics fraud china,中国统计造假
li keqiang index,克强指数
unemployment statistics,失业统计
economic data censorship,经济数据审查
recession china,中国衰退
deflation china,中国通缩
stock market crash china,中国股市崩盘
capital flight,资本外逃
foreign investment decline,外资下降
decoupling china,脱钩中国
supply chain diversification,供应链多元化
chip war,芯片战争
semiconductor sanctions,半导体制裁
huawei sanctions,华为制裁
zte sanctions,中兴制裁
entity list,实体清单
export controls china,中国出口管制
technology transfer,技术转让
forced technology transfer,强制技术转让
intellectual property theft,知识产权盗窃
cyber espionage china,中国网络间谍
apt groups china,中国apt组织
state sponsored hacking,国家支持的黑客
pla unit 61398,解放军61398部队
ministry of state security,国家安全部
guoanbu,国安部
united front work department,统战部
overseas chinese affairs,侨务
thousand talents program,千人计划
academic espionage,学术间谍
confucius institute criticism,孔子学院批评
chinese students association,中国学生学者联合会
cssa surveillance,学联监控
overseas chinese intimidation,海外华人恐吓
transnational repression,跨国镇压
fox hunt operation,猎狐行动
skynet operation,天网行动
overseas police stations,海外警察站
chinese police abroad,海外中国警察
repatriation pressure,遣返压力
family threats diaspora,侨民家属威胁
belt and road criticism,一带一路批评
debt trap diplomacy,债务陷阱外交
sri lanka hambantota,斯里兰卡汉班托塔
port seizure,港口没收
infrastructure colonialism,基础设施殖民主义
china africa debt,中非债务
wolf warrior diplomacy,战狼外交
zhao lijian,赵立坚
hua chunying,华春莹
wang yi foreign minister,王毅外长
aggressive diplomacy,激进外交
diplomatic incidents,外交事件
embassy protests,大使馆抗议
consulate closure,领事馆关闭
houston consulate,休斯顿领事馆
chengdu consulate,成都领事馆
spy balloon,间谍气球
surveillance balloon,监控气球
south china sea,南海
nine dash line,九段线
spratlys,南沙群岛
paracels,西沙群岛
scarborough shoal,黄岩岛
artificial islands,人工岛
militarization south china sea,南海军事化
freedom of navigation,航行自由
unclos violation,违反联合国海洋法公约
hague tribunal ruling,海牙仲裁裁决
philippines china dispute,菲中争端
vietnam china dispute,越中争端
senkaku islands,尖阁诸岛
diaoyu islands,钓鱼岛
east china sea,东海
air defense identification zone,防空识别区
taiwan strait,台湾海峡
median line taiwan,台湾中线
chinese military exercises,中国军演
invasion taiwan,入侵台湾
reunification by force,武统
peaceful reunification,和平统一
one country two systems failure,一国两制失败
hong kong autonomy,香港自治
basic law violation,违反基本法
article 23,二十三条
sedition hong kong,香港煽动罪
foreign collusion,勾结外国势力
subversion hong kong,香港颠覆
47 democrats,47人案
hong kong 47,香港47人
primary election case,初选案
stand news,立场新闻
citizen news,众新闻
press freedom hong kong,香港新闻自由
media shutdown hong kong,香港媒体关闭
radio television hong kong,香港电台
rthk censorship,香港电台审查
academic freedom hong kong,香港学术自由
university councils,大学校董会
national security education,国安教育
liberal studies,通识教育
curriculum reform hong kong,香港课程改革
textbook censorship,教科书审查
history revision,历史修正
patriotic education,爱国教育
june 4 museum,六四纪念馆
tiananmen museum closure,天安门纪念馆关闭
civil society hong kong,香港公民社会
ngo crackdown hong kong,香港ngo打压
professional teachers union,教协
hong kong confederation of trade unions,职工盟
civil human rights front,民间人权阵线
union dissolution,工会解散
bar association hong kong,香港大律师公会
legal profession hong kong,香港法律界
rule of law hong kong,香港法治
judicial independence hong kong,香港司法独立
chief executive selection,特首选举
election committee,选举委员会
patriots only,爱国者治港
district council dissolution,区议会解散
functional constituencies,功能界别
proportional representation removal,取消比例代表制
gerrymandering hong kong,香港选区划分
voter registration decline,选民登记下降
emigration hong kong,香港移民
brain drain hong kong,香港人才流失
bno visa,bno签证
lifeboat scheme,救生艇计划
hong kong diaspora,香港侨民
lennon walls,连侬墙
yellow economic circle,黄色经济圈
protest symbols,抗议符号
five demands,五大诉求
be water,如水
glory to hong kong,愿荣光归香港
protest anthem ban,抗议歌曲禁令
face mask ban,蒙面禁令
protest gear illegal,抗议装备违法
tear gas hong kong,香港催泪弹
rubber bullets hong kong,香港橡皮子弹
prince edward station,太子站
831 prince edward,831太子站
yuen long attack,元朗袭击
white shirts triads,白衣人黑社会
police brutality hong kong,香港警察暴力
excessive force,过度使用武力
ipcc report,监警会报告
police accountability,警察问责
disappeared hong kong,香港失踪者
12 hong kong activists,12港人
speedboat escape,快艇逃亡
shenzhen detention,深圳拘留
chan tong-kai,陈同佳
murderer hong kong,香港杀人犯
extradition trigger,引渡触发
simon cheng,郑文杰
uk consulate staff,英国领事馆员工
detention shenzhen,深圳拘留
gui minhai,桂民海
booksellers hong kong,香港书商
causeway bay books,铜锣湾书店
lee bo,李波
lam wing-kee,林荣基
kidnapping hong kong,香港绑架
cross border enforcement,跨境执法
rendition,移交
forced repatriation hong kong,香港强制遣返
asylum seekers hong kong,香港寻求庇护者
refugees hong kong,香港难民
immigration detention,入境拘留
mainland china refugees,大陆难民
north korean refugees,朝鲜难民
underground railroad china,中国地下铁路
helping north koreans,帮助朝鲜人
repatriation north korea,遣返朝鲜
un human rights council,联合国人权理事会
universal periodic review,普遍定期审议
un special rapporteurs,联合国特别报告员
human rights watch china,人权观察中国
amnesty international china,国际特赦中国
reporters without borders china,无国界记者中国
freedom house china,自由之家中国
foreign correspondent expulsion,外国记者驱逐
visa denial journalists,记者签证拒绝
foreign journalist harassment,外国记者骚扰
press freedom china,中国新闻自由
journalist detention,记者拘留
citizen journalist,公民记者
blogger detention,博主拘留
online censorship,网络审查
great cannon,大炮
ddos attack china,中国ddos攻击
github attack,github攻击
great firewall evasion,翻墙工具
tor exit nodes blocked,tor出口节点封锁
signal blocked china,中国封锁signal
telegram china,电报中国
whatsapp china,whatsapp中国
clubhouse china,clubhouse中国
linkedin china,领英中国
yahoo china exit,雅虎退出中国
google china exit,谷歌退出中国
dragonfly project,蜻蜓计划
censored search engine,审查搜索引擎
bing censorship,必应审查
apple china censorship,苹果中国审查
app store removal,应用商店下架
vpn app removal,vpn应用下架
icloud china,icloud中国
data localization,数据本地化
cybersecurity law,网络安全法
data security law,数据安全法
personal information protection law,个人信息保护法
tech crackdown,科技打压
ant group ipo,蚂蚁集团ipo
jack ma disappearance,马云失踪
didi crackdown,滴滴打压
bytedance fine,字节跳动罚款
tencent fine,腾讯罚款
alibaba fine,阿里巴巴罚款
antitrust china,中国反垄断
common prosperity,共同富裕
wealth redistribution,财富再分配
tech billionaire donations,科技富豪捐款
celebrity crackdown,明星打压
zhao wei,赵薇
zheng shuang,郑爽
kris wu,吴亦凡
fan bingbing,范冰冰
tax evasion celebrities,明星逃税
idol culture ban,偶像文化禁令
effeminate men ban,娘炮禁令
sissy boy ban,娘炮禁令
gaming restrictions,游戏限制
minor gaming limits,未成年人游戏限制
three hours gaming,三小时游戏
online gaming addiction,网络游戏成瘾
private tutoring ban,校外培训禁令
double reduction,双减
education crackdown,教育打压
gaokao pressure,高考压力
college entrance exam,高考
education inequality,教育不平等
hukou education,户口教育
migrant children education,流动儿童教育
left behind children,留守儿童
rural urban divide,城乡差距
inequality china,中国不平等
gini coefficient china,中国基尼系数
poverty statistics,贫困统计
poverty alleviation criticism,扶贫批评
absolute poverty claim,绝对贫困声明
relative poverty,相对贫困
slum clearance,棚户区改造
eviction beijing,北京驱逐
migrant worker eviction,农民工驱逐
low end population,低端人口
diduan renkou,低端人口
beijing fire eviction,北京大火驱逐
daxing fire,大兴火灾
winter eviction,冬季驱逐
homeless beijing,北京无家可归者
migrant worker rights,农民工权利
wage theft,欠薪
unpaid wages,拖欠工资
construction worker protest,建筑工人抗议
mine safety,矿山安全
mine disasters,矿难
industrial accidents,工业事故
tianjin explosion,天津爆炸
chemical plant explosion,化工厂爆炸
warehouse explosion,仓库爆炸
safety cover up,安全事故掩盖
death toll manipulation,死亡人数操纵
environmental pollution,环境污染
air pollution china,中国空气污染
pm 2.5,pm2.5
smog beijing,北京雾霾
airpocalypse,空气末日
water pollution china,中国水污染
soil contamination,土壤污染
cancer villages,癌症村
toxic waste,有毒废物
illegal dumping,非法倾倒
yangtze pollution,长江污染
yellow river pollution,黄河污染
desertification,沙漠化
sandstorms beijing,北京沙尘暴
three gorges dam criticism,三峡大坝批评
dam collapse,大坝溃坝
flooding china,中国洪水
zhengzhou floods,郑州洪水
subway flooding,地铁洪水
tunnel flooding,隧道洪水
death toll cover up,死亡人数掩盖
natural disaster response,自然灾害应对
earthquake cover up,地震掩盖
sichuan earthquake,四川地震
wenchuan earthquake,汶川地震
tofu dregs construction,豆腐渣工程
school collapse,学校倒塌
parent protesters,家长抗议者
tan zuoren,谭作人
sichuan earthquake investigation,四川地震调查
ai weiwei names,艾未未姓名
student earthquake victims,学生地震遇难者
building standards,建筑标准
construction corruption,建筑腐败
food safety china,中国食品安全
melamine milk,三聚氰胺奶粉
baby formula scandal,婴儿奶粉丑闻
gutter oil,地沟油
fake food,假食品
plastic rice,塑料大米
expired meat,过期肉
vaccine scandal,疫苗丑闻
changsheng biotechnology,长生生物
fake vaccines,假疫苗
children vaccine,儿童疫苗
pharmaceutical corruption,医药腐败
hospital corruption,医院腐败
red envelope doctors,红包医生
healthcare corruption,医疗腐败
medical violence,医闹
doctor attacks,医生被袭
healthcare system,医疗体系
public health china,中国公共卫生
blood scandal,血液丑闻
aids villages,艾滋病村
henan blood scandal,河南血液丑闻
plasma economy,血浆经济
gao yaojie,高耀洁
aids activist,艾滋病活动人士
human rights activist,人权活动人士
environmental activist,环保活动人士
land rights activist,土地维权人士
feminist activist,女权活动人士
lgbtq china,中国lgbtq
gay rights china,中国同性恋权利
shanghai pride,上海骄傲
pride event cancellation,骄傲活动取消
conversion therapy,转化疗法
same sex marriage,同性婚姻
lgbtq censorship,lgbtq审查
boys love ban,耽美禁令
danmei,耽美
bl novels censorship,耽美小说审查
tianyi author,天一作者
obscenity charges,淫秽指控
online novel censorship,网络小说审查
webnovel crackdown,网文打压
historical nihilism,历史虚无主义
hero and martyr protection law,英烈保护法
defaming heroes,诋毁英烈
questioning history,质疑历史
korean war narrative,朝鲜战争叙事
battle of lake changjin,长津湖
propaganda film,宣传电影
patriotic film,爱国电影
wolf warrior film,战狼电影
wu jing,吴京
nationalist film,民族主义电影
anti-japan drama,抗日神剧
anti-american film,反美电影
anti-western sentiment,反西方情绪
little pink,小粉红
xiao fenhong,小粉红
nationalist trolls,民族主义水军
fifty cent army,五毛党
wumao,五毛
internet commentators,网络评论员
public opinion guidance,舆论引导
propaganda department,宣传部
central propaganda department,中宣部
xinhua,新华社
cctv state media,央视官媒
global times,环球时报
hu xijin,胡锡进
state media criticism,官媒批评
people's daily,人民日报
china daily,中国日报
cgtn,中国国际电视台
foreign agent registration,外国代理人登记
radio free asia,自由亚洲电台
voice of america china,美国之音中国
bbc china,bbc中国
nyt china,纽约时报中国
washington post china,华盛顿邮报中国
foreign media ban,外国媒体禁令
foreign media censorship,外国媒体审查
documentary censorship,纪录片审查
film censorship,电影审查
sarft,广电总局
banned films china,中国禁片
ten years hong kong,十年香港
inside the red brick wall,理大围城
do not split,不割席
winter on fire,凛冬烈火
ai weiwei documentaries,艾未未纪录片
human flow,人流
one child nation,独生之国
in the same breath,同呼吸
ask no questions,不要问问题
letter from masanjia,马三家来信
reeducation documentary,再教育纪录片
exhibition censorship,展览审查
art censorship,艺术审查
performance art crackdown,行为艺术打压
avant garde art,先锋艺术
political art,政治艺术
badiucao,巴丢草
protest art,抗议艺术
graffiti political,政治涂鸦
music censorship,音乐审查
rock music china,中国摇滚乐
cui jian,崔健
nothing to my name,一无所有
tiananmen song,天安门歌曲
protest music,抗议音乐
hip hop censorship,嘻哈审查
tattoo ban performers,艺人纹身禁令
earring ban men,男性耳环禁令
long hair ban men,男性长发禁令
appearance regulations,外貌规定
masculinity campaign,阳刚之气运动
feminine men criticism,阴柔男性批评
androgynous ban,中性禁令
k-pop influence,韩流影响
hallyu restriction,限韩令
korean entertainment ban,韩国娱乐禁令
thaad retaliation,萨德报复
lotte boycott,乐天抵制
economic coercion,经济胁迫
rare earth threats,稀土威胁
trade war china,中美贸易战
tariffs china,中国关税
economic nationalism,经济民族主义
made in china 2025,中国制造2025
indigenous innovation,自主创新
dual circulation,双循环
self reliance,自力更生
technology self sufficiency,科技自主
chip manufacturing,芯片制造
smic,中芯国际
semiconductor independence,半导体独立
5g huawei,华为5g
meng wanzhou,孟晚舟
huawei cfo,华为cfo
canada detention,加拿大拘留
michael kovrig,康明凯
michael spavor,迈克尔·斯帕弗
two michaels,两个迈克尔
hostage diplomacy,人质外交
coercive diplomacy,胁迫外交
